PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20958,55257,FABULA PLAZA SHOP CM,0.040984,15,0.85,fallback_categoria,4,18,0.737712,1
5.20958,55257,FABULA SHOP VITORIA CM,0.07377,15,0.85,fallback_categoria,11,25,1.8442500000000002,2
5.20958,55257,FABULA CENTRO CM,0.02459,15,0.85,fallback_categoria,4,18,0.44262,0
5.20964,55259,FABULA SHOP LEBLON CM,0.081967,15,0.85,fallback_categoria,4,18,1.475406,1
5.20964,55259,FABULA RDB CM,0.065574,15,0.85,fallback_categoria,4,18,1.180332,1
5.20964,55259,FABULA BARRA SHOPPING,0.066667,15,0.85,knn_enriquecido,4,18,1.2000060000000001,1
5.20964,55259,FABULA ELDORADO CM,0.07377,15,0.85,fallback_categoria,6,20,1.4754,1
5.20964,55259,FABULA RIO SUL CM,0.04918,15,0.85,fallback_categoria,4,18,0.88524,1
5.20964,55259,FABULA BARRA SALVADOR CM,0.065574,15,0.85,fallback_categoria,16,30,1.9672199999999997,2
5.20964,55259,FABULA HARMONIA SP CM,0.032787,15,0.85,fallback_categoria,6,20,0.65574,1
5.20964,55259,FABULA PLAZA SHOP CM,0.040984,15,0.85,fallback_categoria,4,18,0.737712,1
5.20964,55259,FABULA SHOP VITORIA CM,0.04918,15,0.85,fallback_categoria,11,25,1.2295,1
5.20964,55259,FABULA CENTRO CM,0.016393,15,0.85,fallback_categoria,4,18,0.295074,0
5.20749,55222,FABULA SHOP LEBLON CM,0.016393,15,1.0,knn_enriquecido,4,18,0.295074,0
5.20749,55222,FABULA RDB CM,0.065574,15,1.0,fallback_categoria,4,18,1.180332,1
5.20749,55222,FABULA BARRA SHOPPING,0.075527,15,1.0,knn_enriquecido,4,18,1.359486,1
5.20749,55222,FABULA ELDORADO CM,0.040984,15,1.0,fallback_categoria,6,20,0.81968,1
5.20749,55222,FABULA RIO SUL CM,0.057377,15,1.0,fallback_categoria,4,18,1.032786,1
5.20749,55222,FABULA BARRA SALVADOR CM,0.081967,15,1.0,fallback_categoria,16,30,2.45901,2
5.20749,55222,FABULA HARMONIA SP CM,0.010929,15,1.0,knn_enriquecido,6,20,0.21858,0
5.20749,55222,FABULA PLAZA SHOP CM,0.040984,15,1.0,fallback_categoria,4,18,0.737712,1
5.20749,55222,FABULA SHOP VITORIA CM,0.07377,15,1.0,fallback_categoria,11,25,1.8442500000000002,2
5.20749,55222,FABULA CENTRO CM,0.010929,15,1.0,knn_enriquecido,4,18,0.19672199999999998,0
5.20917,55259,FABULA SHOP LEBLON CM,0.098361,15,1.0,fallback_categoria,4,18,1.7704980000000001,2
5.20917,55259,FABULA RDB CM,0.07377,15,1.0,fallback_categoria,4,18,1.32786,1
5.20917,55259,FABULA BARRA SHOPPING,0.06612,15,1.0,knn_enriquecido,4,18,1.1901599999999999,1
5.20917,55259,FABULA ELDORADO CM,0.057377,15,1.0,fallback_categoria,6,20,1.14754,1
5.20917,55259,FABULA RIO SUL CM,0.090164,15,1.0,fallback_categoria,4,18,1.622952,2
5.20917,55259,FABULA BARRA SALVADOR CM,0.114754,15,1.0,fallback_categoria,16,30,3.44262,3
5.20917,55259,FABULA HARMONIA SP CM,0.04918,15,1.0,fallback_categoria,6,20,0.9836,1
5.20917,55259,FABULA PLAZA SHOP CM,0.057377,15,1.0,fallback_categoria,4,18,1.032786,1
5.20917,55259,FABULA SHOP VITORIA CM,0.081967,15,1.0,fallback_categoria,11,25,2.049175,2
5.20917,55259,FABULA CENTRO CM,0.032787,15,1.0,fallback_categoria,4,18,0.590166,1
5.20918,55259,FABULA SHOP LEBLON CM,0.090164,15,0.85,fallback_categoria,4,18,1.622952,2
5.20918,55259,FABULA RDB CM,0.008197,15,0.85,knn_enriquecido,4,18,0.14754599999999998,0
5.20918,55259,FABULA BARRA SHOPPING,0.096721,15,0.85,knn_enriquecido,4,18,1.7409780000000001,2
5.20918,55259,FABULA ELDORADO CM,0.04918,15,0.85,fallback_categoria,6,20,0.9836,1
5.20918,55259,FABULA RIO SUL CM,0.008197,15,0.85,knn_enriquecido,4,18,0.14754599999999998,0
5.20918,55259,FABULA BARRA SALVADOR CM,0.032787,15,0.85,fallback_categoria,16,30,0.9836099999999999,1
5.20918,55259,FABULA HARMONIA SP CM,0.106557,15,0.85,knn_enriquecido,6,20,2.13114,2
5.20918,55259,FABULA PLAZA SHOP CM,0.04918,15,0.85,fallback_categoria,4,18,0.88524,1
5.20918,55259,FABULA SHOP VITORIA CM,0.04918,15,0.85,fallback_categoria,11,25,1.2295,1
5.20918,55259,FABULA CENTRO CM,0.030055,15,0.85,knn_enriquecido,4,18,0.54099,1
5.20919,55257,FABULA SHOP LEBLON CM,0.090164,15,0.85,fallback_categoria,4,18,1.622952,2
5.20919,55257,FABULA RDB CM,0.008197,15,0.85,knn_enriquecido,4,18,0.14754599999999998,0
5.20919,55257,FABULA BARRA SHOPPING,0.096721,15,0.85,knn_enriquecido,4,18,1.7409780000000001,2
5.20919,55257,FABULA ELDORADO CM,0.04918,15,0.85,fallback_categoria,6,20,0.9836,1
5.20919,55257,FABULA RIO SUL CM,0.008197,15,0.85,knn_enriquecido,4,18,0.14754599999999998,0
5.20919,55257,FABULA BARRA SALVADOR CM,0.032787,15,0.85,fallback_categoria,16,30,0.9836099999999999,1
5.20919,55257,FABULA HARMONIA SP CM,0.106557,15,0.85,knn_enriquecido,6,20,2.13114,2
5.20919,55257,FABULA PLAZA SHOP CM,0.04918,15,0.85,fallback_categoria,4,18,0.88524,1
5.20919,55257,FABULA SHOP VITORIA CM,0.04918,15,0.85,fallback_categoria,11,25,1.2295,1
5.20919,55257,FABULA CENTRO CM,0.030055,15,0.85,knn_enriquecido,4,18,0.54099,1
5.20906,55252,FABULA SHOP LEBLON CM,0.098361,15,1.0,fallback_categoria,4,18,1.7704980000000001,2
5.20906,55252,FABULA RDB CM,0.07377,15,1.0,fallback_categoria,4,18,1.32786,1
5.20906,55252,FABULA BARRA SHOPPING,0.06612,15,1.0,knn_enriquecido,4,18,1.1901599999999999,1
5.20906,55252,FABULA ELDORADO CM,0.057377,15,1.0,fallback_categoria,6,20,1.14754,1
5.20906,55252,FABULA RIO SUL CM,0.090164,15,1.0,fallback_categoria,4,18,1.622952,2
5.20906,55252,FABULA BARRA SALVADOR CM,0.114754,15,1.0,fallback_categoria,16,30,3.44262,3
5.20906,55252,FABULA HARMONIA SP CM,0.04918,15,1.0,fallback_categoria,6,20,0.9836,1
5.20906,55252,FABULA PLAZA SHOP CM,0.057377,15,1.0,fallback_categoria,4,18,1.032786,1
5.20906,55252,FABULA SHOP VITORIA CM,0.081967,15,1.0,fallback_categoria,11,25,2.049175,2
5.20906,55252,FABULA CENTRO CM,0.032787,15,1.0,fallback_categoria,4,18,0.590166,1
5.20959,55258,FABULA SHOP LEBLON CM,0.065574,15,0.85,fallback_categoria,4,18,1.180332,1
5.20959,55258,FABULA RDB CM,0.065574,15,0.85,fallback_categoria,4,18,1.180332,1
5.20959,55258,FABULA BARRA SHOPPING,0.065574,15,0.85,knn_enriquecido,4,18,1.180332,1
5.20959,55258,FABULA ELDORADO CM,0.040984,15,0.85,fallback_categoria,6,20,0.81968,1
5.20959,55258,FABULA RIO SUL CM,0.057377,15,0.85,fallback_categoria,4,18,1.032786,1
5.20959,55258,FABULA BARRA SALVADOR CM,0.081967,15,0.85,fallback_categoria,16,30,2.45901,2
5.20959,55258,FABULA HARMONIA SP CM,0.008197,15,0.85,knn_enriquecido,6,20,0.16393999999999997,0
5.20959,55258,FABULA PLAZA SHOP CM,0.040984,15,0.85,fallback_categoria,4,18,0.737712,1
5.20959,55258,FABULA SHOP VITORIA CM,0.07377,15,0.85,fallback_categoria,11,25,1.8442500000000002,2
5.20959,55258,FABULA CENTRO CM,0.010929,15,0.85,knn_enriquecido,4,18,0.19672199999999998,0
5.21056,10054,FABULA SHOP LEBLON CM,0.098361,15,1.0,fallback_categoria,4,18,1.7704980000000001,2
5.21056,10054,FABULA RDB CM,0.008197,15,1.0,knn_enriquecido,4,18,0.14754599999999998,0
5.21056,10054,FABULA BARRA SHOPPING,0.086713,15,1.0,knn_enriquecido,4,18,1.560834,2
5.21056,10054,FABULA ELDORADO CM,0.057377,15,1.0,fallback_categoria,6,20,1.14754,1
5.21056,10054,FABULA RIO SUL CM,0.090164,15,1.0,fallback_categoria,4,18,1.622952,2
5.21056,10054,FABULA BARRA SALVADOR CM,0.114754,15,1.0,fallback_categoria,16,30,3.44262,3
5.21056,10054,FABULA HARMONIA SP CM,0.016393,15,1.0,knn_enriquecido,6,20,0.32786000000000004,0
5.21056,10054,FABULA PLAZA SHOP CM,0.008197,15,1.0,knn_enriquecido,4,18,0.14754599999999998,0
5.21056,10054,FABULA SHOP VITORIA CM,0.081967,15,1.0,fallback_categoria,11,25,2.049175,2
5.21056,10054,FABULA CENTRO CM,0.008197,15,1.0,knn_enriquecido,4,18,0.14754599999999998,0
