PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,calib_fator,velocidade_calibrada,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20927,55258,FABULA RDB CM,0.043689,15,1.0,fallback_categoria,1.4613373470269417,0.06384436735426005,4,18,1.1491986123766809,1
5.20927,55258,FABULA BARRA SHOPPING,0.06612,15,1.0,knn_enriquecido,1.2565817595527058,0.08308518594162491,4,18,1.4955333469492484,1
5.20927,55258,FABULA ELDORADO CM,0.033981,15,1.0,fallback_categoria,1.5793903919633479,0.05366926490930652,6,20,1.0733852981861305,1
5.20927,55258,FABULA RIO SUL CM,0.053398,15,1.0,fallback_categoria,1.6518770394243272,0.08820693015118022,4,18,1.587724742721244,2
5.20927,55258,FABULA BARRA SALVADOR CM,0.067961,15,1.0,fallback_categoria,1.3226336724858752,0.08988750701581255,16,30,2.6966252104743766,3
5.20927,55258,FABULA HARMONIA SP CM,0.029126,15,1.0,fallback_categoria,1.6413964500297988,0.04780731300356792,6,20,0.9561462600713584,1
5.20927,55258,FABULA PLAZA SHOP CM,0.033981,15,1.0,fallback_categoria,1.5184927888116602,0.05159990345660902,4,18,0.9287982622189623,1
5.20927,55258,FABULA SHOP VITORIA CM,0.048544,15,1.0,fallback_categoria,1.5665883579945814,0.07604846525048896,11,25,1.901211631262224,2
5.20927,55258,FABULA CENTRO CM,0.024272,15,1.0,fallback_categoria,1.5407029380016526,0.037395941711176106,4,18,0.6731269508011699,1
5.2093,55261,FABULA SHOP LEBLON CM,0.043689,15,0.15,fallback_categoria,1.6757020079967777,0.07320974502737122,4,18,1.317775410492682,1
5.2093,55261,FABULA RDB CM,0.038835,15,0.15,fallback_categoria,1.4613373470269417,0.05675103587179128,4,18,1.0215186456922432,1
5.2093,55261,FABULA BARRA SHOPPING,0.054098,15,0.15,knn_enriquecido,1.2565817595527058,0.06797856002828227,4,18,1.223614080509081,1
5.2093,55261,FABULA ELDORADO CM,0.029126,15,0.15,fallback_categoria,1.5793903919633479,0.04600132455632447,6,20,0.9200264911264894,1
5.2093,55261,FABULA RIO SUL CM,0.038835,15,0.15,fallback_categoria,1.6518770394243272,0.06415064482604375,4,18,1.1547116068687875,1
5.2093,55261,FABULA BARRA SALVADOR CM,0.038835,15,0.15,fallback_categoria,1.3226336724858752,0.051364478670988964,16,30,1.540934360129669,2
5.2093,55261,FABULA HARMONIA SP CM,0.024272,15,0.15,fallback_categoria,1.6413964500297988,0.039839974635123274,6,20,0.7967994927024655,1
5.2093,55261,FABULA PLAZA SHOP CM,0.029126,15,0.15,fallback_categoria,1.5184927888116602,0.044227620966928415,4,18,0.7960971774047114,1
5.2093,55261,FABULA SHOP VITORIA CM,0.033981,15,0.15,fallback_categoria,1.5665883579945814,0.05323423899301387,11,25,1.3308559748253468,1
5.2093,55261,FABULA CENTRO CM,0.014563,15,0.15,fallback_categoria,1.5407029380016526,0.022437256886118067,4,18,0.4038706239501252,1
5.20931,56448,FABULA SHOP LEBLON CM,0.066019,15,0.613,knn_enriquecido,1.6757020079967777,0.11062817086593926,4,18,1.9913070755869067,2
5.20931,56448,FABULA RDB CM,0.029126,15,0.613,knn_enriquecido,1.4613373470269417,0.0425629115695067,4,18,0.7661324082511206,1
5.20931,56448,FABULA BARRA SHOPPING,0.050442,15,0.613,knn_enriquecido,1.2565817595527058,0.06338449711535758,4,18,1.1409209480764364,1
5.20931,56448,FABULA ELDORADO CM,0.032039,15,0.613,knn_enriquecido,1.5793903919633479,0.0506020887681137,6,20,1.012041775362274,1
5.20931,56448,FABULA RIO SUL CM,0.037864,15,0.613,knn_enriquecido,1.6518770394243272,0.06254667222076273,4,18,1.125840099973729,1
5.20931,56448,FABULA BARRA SALVADOR CM,0.024272,15,0.613,knn_enriquecido,1.3226336724858752,0.032102964498577156,16,30,0.9630889349573147,1
5.20931,56448,FABULA HARMONIA SP CM,0.025011,15,0.613,knn_enriquecido,1.6413964500297988,0.041052966611695295,6,20,0.8210593322339059,1
5.20931,56448,FABULA PLAZA SHOP CM,0.020388,15,0.613,knn_enriquecido,1.5184927888116602,0.030959030978292126,4,18,0.5572625576092582,1
5.20931,56448,FABULA SHOP VITORIA CM,0.015777,15,0.613,knn_enriquecido,1.5665883579945814,0.02471606452408051,11,25,0.6179016131020127,1
5.20931,56448,FABULA CENTRO CM,0.014868,15,0.613,knn_enriquecido,1.5407029380016526,0.02290717128220857,4,18,0.41232908307975424,1
5.20944,55266,FABULA SHOP LEBLON CM,0.066019,15,0.763,knn_enriquecido,1.6757020079967777,0.11062817086593926,4,18,1.9913070755869067,2
5.20944,55266,FABULA RDB CM,0.029126,15,0.763,knn_enriquecido,1.4613373470269417,0.0425629115695067,4,18,0.7661324082511206,1
5.20944,55266,FABULA BARRA SHOPPING,0.042652,15,0.763,knn_enriquecido,1.2565817595527058,0.05359572520844201,4,18,0.9647230537519562,1
5.20944,55266,FABULA ELDORADO CM,0.032039,15,0.763,knn_enriquecido,1.5793903919633479,0.0506020887681137,6,20,1.012041775362274,1
5.20944,55266,FABULA RIO SUL CM,0.037864,15,0.763,knn_enriquecido,1.6518770394243272,0.06254667222076273,4,18,1.125840099973729,1
