PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.2093,55261,FABULA CENTRO CM,0.02459016393442623,0,0.0,fallback_sem_attrs,4,18,0.4426229508196721,0
5.20931,56448,FABULA SHOP LEBLON CM,0.111475,10,0.55,knn_ponderado,4,18,2.0065500000000003,2
5.20931,56448,FABULA RDB CM,0.04918,10,0.55,knn_ponderado,4,18,0.88524,1
5.20931,56448,FABULA BARRA SHOPPING,0.066598,10,0.55,knn_ponderado,4,18,1.1987640000000002,1
5.20931,56448,FABULA ELDORADO CM,0.030328,10,0.55,knn_ponderado,6,20,0.60656,1
5.20931,56448,FABULA RIO SUL CM,0.063934,10,0.55,knn_ponderado,4,18,1.1508120000000002,1
5.20931,56448,FABULA BARRA SALVADOR CM,0.040984,10,0.55,knn_ponderado,16,30,1.22952,1
5.20931,56448,FABULA HARMONIA SP CM,0.059016,10,0.55,knn_ponderado,6,20,1.18032,1
5.20931,56448,FABULA PLAZA SHOP CM,0.034426,10,0.55,knn_ponderado,4,18,0.619668,1
5.20931,56448,FABULA SHOP VITORIA CM,0.026639,10,0.55,knn_ponderado,11,25,0.665975,1
5.20931,56448,FABULA CENTRO CM,0.02459,10,0.55,knn_ponderado,4,18,0.44262,0
5.20944,55266,FABULA SHOP LEBLON CM,0.111475,10,0.75,knn_ponderado,4,18,2.0065500000000003,2
5.20944,55266,FABULA RDB CM,0.04918,10,0.75,knn_ponderado,4,18,0.88524,1
5.20944,55266,FABULA BARRA SHOPPING,0.066598,10,0.75,knn_ponderado,4,18,1.1987640000000002,1
5.20944,55266,FABULA ELDORADO CM,0.030328,10,0.75,knn_ponderado,6,20,0.60656,1
5.20944,55266,FABULA RIO SUL CM,0.063934,10,0.75,knn_ponderado,4,18,1.1508120000000002,1
5.20944,55266,FABULA BARRA SALVADOR CM,0.040984,10,0.75,knn_ponderado,16,30,1.22952,1
5.20944,55266,FABULA HARMONIA SP CM,0.059016,10,0.75,knn_ponderado,6,20,1.18032,1
5.20944,55266,FABULA PLAZA SHOP CM,0.034426,10,0.75,knn_ponderado,4,18,0.619668,1
5.20944,55266,FABULA SHOP VITORIA CM,0.026639,10,0.75,knn_ponderado,11,25,0.665975,1
5.20944,55266,FABULA CENTRO CM,0.02459,10,0.75,knn_ponderado,4,18,0.44262,0
5.20948,55266,FABULA SHOP LEBLON CM,0.103825,10,0.55,knn_ponderado,4,18,1.8688500000000001,2
5.20948,55266,FABULA RDB CM,0.095628,10,0.55,knn_ponderado,4,18,1.7213040000000002,2
5.20948,55266,FABULA BARRA SHOPPING,0.082787,10,0.55,knn_ponderado,4,18,1.4901659999999999,1
5.20948,55266,FABULA ELDORADO CM,0.031876,10,0.55,knn_ponderado,6,20,0.6375200000000001,1
5.20948,55266,FABULA RIO SUL CM,0.092896,10,0.55,knn_ponderado,4,18,1.672128,2
5.20948,55266,FABULA BARRA SALVADOR CM,0.071038,10,0.55,knn_ponderado,16,30,2.1311400000000003,2
5.20948,55266,FABULA HARMONIA SP CM,0.057377,10,0.55,knn_ponderado,6,20,1.14754,1
5.20948,55266,FABULA PLAZA SHOP CM,0.065574,10,0.55,knn_ponderado,4,18,1.180332,1
5.20948,55266,FABULA SHOP VITORIA CM,0.057377,10,0.55,knn_ponderado,11,25,1.4344249999999998,1
5.20948,55266,FABULA CENTRO CM,0.028689,10,0.55,knn_ponderado,4,18,0.516402,1
5.20951,55260,FABULA SHOP LEBLON CM,0.065574,10,0.55,fallback_categoria,4,18,1.180332,1
5.20951,55260,FABULA RDB CM,0.004098,10,0.55,knn_ponderado,4,18,0.073764,0
5.20951,55260,FABULA BARRA SHOPPING,0.09918,10,0.55,knn_ponderado,4,18,1.7852400000000002,2
5.20951,55260,FABULA ELDORADO CM,0.018443,10,0.55,knn_ponderado,6,20,0.36886,0
5.20951,55260,FABULA RIO SUL CM,0.008197,10,0.55,knn_ponderado,4,18,0.14754599999999998,0
5.20951,55260,FABULA BARRA SALVADOR CM,0.081967,10,0.55,fallback_categoria,16,30,2.45901,2
5.20951,55260,FABULA HARMONIA SP CM,0.016393,10,0.55,knn_ponderado,6,20,0.32786000000000004,0
5.20951,55260,FABULA PLAZA SHOP CM,0.040984,10,0.55,fallback_categoria,4,18,0.737712,1
5.20951,55260,FABULA SHOP VITORIA CM,0.008197,10,0.55,knn_ponderado,11,25,0.204925,0
5.20951,55260,FABULA CENTRO CM,0.008197,10,0.55,knn_ponderado,4,18,0.14754599999999998,0
5.20958,55257,FABULA SHOP LEBLON CM,0.065574,10,0.55,fallback_categoria,4,18,1.180332,1
5.20958,55257,FABULA RDB CM,0.004098,10,0.55,knn_ponderado,4,18,0.073764,0
5.20958,55257,FABULA BARRA SHOPPING,0.09918,10,0.55,knn_ponderado,4,18,1.7852400000000002,2
5.20958,55257,FABULA ELDORADO CM,0.018443,10,0.55,knn_ponderado,6,20,0.36886,0
5.20958,55257,FABULA RIO SUL CM,0.008197,10,0.55,knn_ponderado,4,18,0.14754599999999998,0
5.20958,55257,FABULA BARRA SALVADOR CM,0.081967,10,0.55,fallback_categoria,16,30,2.45901,2
5.20958,55257,FABULA HARMONIA SP CM,0.016393,10,0.55,knn_ponderado,6,20,0.32786000000000004,0
5.20958,55257,FABULA PLAZA SHOP CM,0.040984,10,0.55,fallback_categoria,4,18,0.737712,1
