PRODUTO,DESC_PRODUTO,COLECAO,ANM_TIPO_PRODUTO,GRUPO_PRODUTO,SUBGRUPO_PRODUTO,LINHA,MODELAGEM
5.20912,CAMISETA MALHA JACARECA,INV26,,5CAMISA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21045,CAMISETA SILK RAW,INV26,,5CAMISA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20934,BIQUINI FILHOTES,INV26,,5BIQUINI,BIQUINI,LYCRA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20592,JAQUETA CORTA VENTO GOLFINHO PB,INV26,,5CASACO,CORTA-VENTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20778,MACAQUINHO MALHA AR LIVRE,INV26,,5MACACÃO,CURTO MC,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21123,TOP RIB LISO,INV26,,5BLUSA,TOP,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20749,SHORT AQUARELA DO RIO,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21214,SHORT MALHA FILHOTES,INV26,,5SHORT,SHORT CURTO,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21424,CALCA BORDADA OFF,INV26,,5CALÇA,MIDI,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21061,VESTIDO RIB FLORES DO JARDIM,INV26,,5VESTIDOS,CURTO SEM MG,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21427,BLUSA BORDADO BABADOS OFF,INV26,,5BLUSA,MANGA CURTA,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
